PassengerId,Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Embarked,CabinKnown,Fare_capped,Age_norm,Age_z,Fare_capped_norm,Fare_capped_z,Sex_encoded,Embarked_C,Embarked_Q,Embarked_S
1,1,2,Miss,female,32.5,1,0,34.9008,S,0,34.9008,0.435549525101764,0.2251336038774555,0.46825326567444014,0.38936731267959346,1,0,0,1
2,1,3,Mrs,female,27.6,0,0,6.0646,S,0,6.0646,0.36906377204884677,-0.17124135374673372,0.07703101326552521,-0.8457574667675863,1,0,0,1
3,0,3,Mr,male,17.0,0,0,8.763,S,0,8.763,0.2252374491180462,-1.0287055477908986,0.11364034895816905,-0.7301784131870082,0,0,0,1
4,0,3,Mrs,female,9.2,0,0,4.9657,S,0,4.9657,0.11940298507462686,-1.6596697660498123,0.06212217877373513,-0.8928260340592027,1,0,0,1
5,0,1,Mr,male,4.4,0,0,40.4001,S,0,40.4001,0.0542740841248304,-2.0479554388245282,0.5428625599875726,0.6249157448452007,0,0,0,1
6,0,1,Mr,male,31.4,1,0,108.7792,S,0,74.094775,0.42062415196743563,0.13615147053324964,1.0,2.0681408586923586,0,0,0,1
7,1,1,Miss,female,7.6,0,0,107.1949,Q,1,74.094775,0.09769335142469471,-1.789098323641384,1.0,2.0681408586923586,1,0,1,0
8,0,3,Mr,male,13.3,0,1,18.3609,S,1,18.3609,0.17503392130257805,-1.3280090872214088,0.2438555665109508,-0.3190769462580755,0,0,0,1
9,0,3,Mr,male,29.75,0,1,8.6752,S,0,8.6752,0.3982360922659431,0.0026782705169410845,0.11244916170875675,-0.7339391013371619,0,0,0,1
10,0,3,Mr,male,0.4,8,0,12.6617,Q,0,12.6617,0.0,-2.3715268328034584,0.16653421831219756,-0.5631875829933377,0,0,1,0
11,0,1,Mr,male,41.0,0,0,72.3543,C,1,72.3543,0.5508819538670287,0.9127228160826819,0.976386883508874,1.993592069305812,0,1,0,0
12,0,3,Mr,male,0.4,2,0,29.3065,S,0,29.3065,0.0,-2.3715268328034584,0.39235510133062257,0.14974979880254463,0,0,0,1
13,0,3,Mr,male,28.6,0,0,7.907,S,0,7.907,0.38263229308005436,-0.0903485052520012,0.10202695162904692,-0.7668429810290535,0,0,0,1
14,0,1,Master,male,29.9,0,1,43.969,C,0,43.969,0.4002713704206242,0.014812197791150847,0.5912820152771799,0.7777804366343075,0,1,0,0
15,1,1,Miss,female,37.5,0,0,49.4845,S,0,49.4845,0.503392130257802,0.6295978463511182,0.6661110958481764,1.0140227543128129,1,0,0,1
16,1,1,Miss,female,29.1,0,0,144.7247,S,0,74.094775,0.3894165535956582,-0.04990208100463494,1.0,2.0681408586923586,1,0,0,1
17,0,2,Master,male,59.0,0,1,30.2033,C,0,30.2033,0.7951153324287654,2.368794088987867,0.40452203442029167,0.18816193015855653,0,1,0,0
18,0,3,Master,male,32.8,0,1,3.8466,S,0,3.8466,0.43962008141112624,0.24940145842587502,0.04693928981226251,-0.940759816619989,0,0,0,1
19,1,2,Master,male,45.0,2,0,5.5201,S,0,5.5201,0.605156037991859,1.2362942100616119,0.06964375293175534,-0.869079729840009,0,0,0,1
20,0,2,Mr,male,19.2,1,0,23.4424,S,0,23.4424,0.2550881953867029,-0.850741281102487,0.3127965460996588,-0.10142390713499948,0,0,0,1
21,0,3,Mr,male,29.75,1,0,11.057,S,0,11.057,0.3982360922659431,0.0026782705169410845,0.14476316843597997,-0.6319207979654523,0,0,0,1
22,0,1,Mr,male,52.1,0,0,11.4719,C,1,11.4719,0.701492537313433,1.810633434374213,0.150392138706836,-0.614149618996218,0,1,0,0
23,0,2,Mr,male,26.3,0,2,5.8678,S,0,5.8678,0.35142469470827686,-0.27640205678988605,0.07436101724406348,-0.8541868907761315,0,0,0,1
24,0,2,Master,male,32.5,0,1,17.3389,C,0,17.3389,0.435549525101764,0.2251336038774555,0.22999003839136806,-0.3628516989853773,0,1,0,0
25,0,3,Mr,male,29.75,1,1,52.0255,S,0,52.0255,0.3982360922659431,0.0026782705169410845,0.7005849774057692,1.122859981984118,0,0,0,1
26,0,3,Mr,male,18.9,2,0,18.1596,S,0,18.1596,0.2510176390773406,-0.8750091356509069,0.24112451875119345,-0.3276991162424256,0,0,0,1
27,1,1,Mrs,female,0.4,0,1,32.3168,S,0,32.3168,0.0,-2.3715268328034584,0.43319600083980053,0.2786882901283729,1,0,0,1
28,1,3,Mrs,female,30.2,0,0,28.8381,S,0,28.8381,0.4043419267299865,0.03908005233957066,0.3860002937266964,0.12968708434318252,1,0,0,1
29,0,3,Mr,male,44.0,0,0,4.6921,Q,0,4.6921,0.5915875169606514,1.1554013615668794,0.058410233085361515,-0.9045449893881556,0,0,1,0
30,1,1,Miss,female,10.1,0,0,44.1439,S,0,44.1439,0.13161465400271372,-1.5868662024045528,0.5936548928389364,0.7852718302272675,1,0,0,1
31,0,3,Master,male,39.4,0,0,28.2594,S,0,28.2594,0.5291723202170964,0.7832942584911098,0.3781490401818799,0.10489995185464086,0,0,0,1
32,1,1,Miss,female,39.5,0,0,28.654,S,0,28.654,0.5305291723202172,0.7913835433405831,0.38350259927775787,0.12180163231079869,1,0,0,1
33,1,1,Mrs,female,31.2,1,0,192.9139,C,0,74.094775,0.4179104477611941,0.11997290083430318,1.0,2.0681408586923586,1,1,0,0
34,1,3,Mr,male,16.1,0,0,1.2995,S,0,1.2995,0.21302578018995935,-1.1015091114361577,0.012382649231646914,-1.0498583221696076,0,0,0,1
35,0,3,Mr,male,29.75,0,0,15.9641,S,0,15.9641,0.3982360922659431,0.0026782705169410845,0.21133805398940889,-0.4217377362158023,0,0,0,1
36,0,3,Mr,male,27.1,8,0,13.5194,S,0,13.5194,0.36227951153324295,-0.21168777799409996,0.17817067963134245,-0.5264502000048772,0,0,0,1
37,0,2,Dr,male,18.9,0,0,34.1185,S,0,34.1185,0.2510176390773406,-0.8750091356509069,0.45763976014807073,0.3558594955968458,0,0,0,1
38,0,1,Mr,male,18.1,0,0,80.3085,S,0,74.094775,0.24016282225237456,-0.9397234144466926,1.0,2.0681408586923586,0,0,0,1
39,0,3,Mr,male,29.75,0,1,13.7975,S,0,13.7975,0.3982360922659431,0.0026782705169410845,0.1819436770580117,-0.5145384987001193,0,0,0,1
40,0,2,Mr,male,28.1,0,0,10.1847,C,0,10.1847,0.3758480325644506,-0.13079492949936747,0.13292862814369816,-0.6692835345643029,0,1,0,0
41,1,1,Mrs,female,19.6,0,0,58.4538,S,0,58.4538,0.260515603799186,-0.8183841417045938,0.7877980639137081,1.3981997500437207,1,0,0,1
42,0,3,Mrs,female,29.1,1,0,29.41,S,0,29.41,0.3894165535956582,-0.04990208100463494,0.39375929131142184,0.15418295624606299,1,0,0,1
43,0,1,Mr,male,37.5,0,1,96.5515,S,0,74.094775,0.503392130257802,0.6295978463511182,1.0,2.0681408586923586,0,0,0,1
44,0,3,Mr,male,30.4,0,0,17.799,S,1,17.799,0.40705563093622804,0.055258622038517106,0.2362322394557712,-0.3431444937702779,0,0,0,1
45,0,2,Mr,male,26.7,0,0,20.9813,C,1,20.9813,0.3568521031207599,-0.24404491739199316,0.27940667207313724,-0.20683882292478636,0,1,0,0
46,1,3,Mr,male,20.3,0,0,10.0809,S,0,10.0809,0.27001356852103126,-0.7617591477582811,0.13152036804701256,-0.6737295417395416,0,0,0,1
47,0,2,Miss,female,20.1,1,0,3.0024,S,0,3.0024,0.26729986431478975,-0.7779377174572276,0.03548598370800446,-0.976918961681034,1,0,0,1
48,0,3,Mr,male,29.75,1,0,26.0722,S,0,26.0722,0.3982360922659431,0.0026782705169410845,0.3484751819596183,0.011216841125527004,0,0,0,1
