PassengerId,Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,1,2,Miss,female,32.5,1,0,34.9008,,S
2,1,3,Mrs,female,27.6,0,0,6.0646,,S
3,0,3,Mr,male,17.0,0,0,8.763,,S
4,0,3,Mrs,female,9.2,0,0,4.9657,,S
5,0,1,Mr,male,4.4,0,0,40.4001,,S
6,0,1,Mr,male,31.4,1,0,108.7792,,S
7,1,1,Miss,female,7.6,0,0,107.1949,D19,Q
8,0,3,Mr,male,13.3,0,1,18.3609,D102,S
9,0,3,Mr,male,,0,1,8.6752,,S
10,0,3,Mr,male,0.4,8,0,12.6617,,Q
11,0,1,Mr,male,41.0,0,0,72.3543,B111,C
12,0,3,Mr,male,0.4,2,0,29.3065,,S
13,0,3,Mr,male,28.6,0,0,7.907,,S
14,0,1,Master,male,29.9,0,1,43.969,,C
15,1,1,Miss,female,37.5,0,0,49.4845,,S
16,1,1,Miss,female,29.1,0,0,144.7247,,S
17,0,2,Master,male,59.0,0,1,30.2033,,C
18,0,3,Master,male,32.8,0,1,3.8466,,S
19,1,2,Master,male,45.0,2,0,5.5201,,S
20,0,2,Mr,male,19.2,1,0,23.4424,,S
21,0,3,Mr,male,,1,0,11.057,,S
22,0,1,Mr,male,52.1,0,0,11.4719,E51,C
23,0,2,Mr,male,26.3,0,2,5.8678,,S
24,0,2,Master,male,32.5,0,1,17.3389,,C
25,0,3,Mr,male,,1,1,52.0255,,S
26,0,3,Mr,male,18.9,2,0,18.1596,,S
27,1,1,Mrs,female,0.4,0,1,32.3168,,S
28,1,3,Mrs,female,,0,0,28.8381,,S
29,0,3,Mr,male,44.0,0,0,4.6921,,Q
30,1,1,Miss,female,10.1,0,0,44.1439,,S
31,0,3,Master,male,39.4,0,0,28.2594,,S
32,1,1,Miss,female,39.5,0,0,28.654,,S
33,1,1,Mrs,female,,1,0,192.9139,,C
34,1,3,Mr,male,16.1,0,0,1.2995,,S
35,0,3,Mr,male,,0,0,15.9641,,S
36,0,3,Mr,male,27.1,8,0,13.5194,,S
37,0,2,Dr,male,18.9,0,0,34.1185,,S
38,0,1,Mr,male,18.1,0,0,80.3085,,S
39,0,3,Mr,male,,0,1,13.7975,,S
40,0,2,Mr,male,28.1,0,0,10.1847,,C
41,1,1,Mrs,female,19.6,0,0,58.4538,,S
42,0,3,Mrs,female,29.1,1,0,29.41,,S
43,0,1,Mr,male,37.5,0,1,96.5515,,S
44,0,3,Mr,male,30.4,0,0,17.799,A91,S
45,0,2,Mr,male,26.7,0,0,20.9813,E62,C
46,1,3,Mr,male,20.3,0,0,10.0809,,S
47,0,2,Miss,female,20.1,1,0,3.0024,,S
48,0,3,Mr,male,,1,0,26.0722,,S
49,1,3,Mr,male,34.6,0,0,19.0672,,S
50,0,1,Mr,male,15.3,1,0,73.4997,,S
51,0,3,Mr,male,35.4,0,0,5.8385,,S
52,0,3,Miss,female,50.2,5,0,20.164,E105,S
53,0,3,Dr,female,,0,0,5.4515,,C
54,0,3,Mr,male,24.3,5,0,18.0652,,S
55,0,3,Mr,male,,1,0,7.043,,S
56,0,3,Mr,male,,0,0,14.6197,,C
57,0,1,Mrs,female,12.7,0,0,169.1122,G30,S
58,1,1,Miss,female,,8,0,79.7334,A21,S
59,0,1,Dr,male,39.0,1,1,103.1378,E1,S
60,0,2,Mr,male,,0,2,55.1086,,S
61,1,2,Mrs,female,25.9,1,0,23.0977,,S
62,0,2,Mr,male,3.1,0,0,8.03,,S
63,0,3,Miss,female,34.5,0,0,18.4777,,C
64,0,2,Mr,male,38.7,0,1,13.8686,,S
65,0,2,Mr,male,13.9,0,0,48.0911,,S
66,0,3,Mr,male,27.4,1,0,8.8784,,S
67,1,1,Mr,male,30.2,0,1,55.044,,S
68,0,3,Mr,male,38.2,1,0,16.5257,,S
69,1,1,Miss,female,29.8,0,1,88.3372,,S
70,0,3,Mr,male,6.1,0,0,18.291,,S
71,0,3,Mr,male,22.0,0,0,8.2136,,C
72,1,1,Mr,male,33.0,0,1,512.33,,S
73,1,1,Mr,male,41.9,0,0,15.5843,,S
74,0,3,Mr,male,20.7,0,0,7.5071,,C
75,0,3,Mr,male,61.4,0,0,17.7031,E55,S
76,1,3,Miss,female,2.2,0,2,1.9429,,C
77,0,3,Mr,male,21.5,0,0,15.9771,,C
78,1,1,Mr,male,28.5,0,0,87.0151,,S
79,0,2,Mr,male,26.8,1,0,9.8442,E78,Q
80,1,1,Mrs,female,,1,0,98.3637,,S
81,1,3,Mrs,female,36.2,0,0,6.8483,,S
82,1,3,Miss,female,35.1,0,0,19.1875,,C
83,1,2,Mr,male,30.4,0,0,22.494,,S
84,1,1,Mr,male,34.5,3,2,136.9507,,S
85,0,2,Mr,male,23.6,0,0,63.6102,,S
86,0,2,Mr,male,6.2,0,0,22.7202,G13,C
87,0,3,Mr,male,19.3,0,0,24.3258,A16,C
88,0,3,Mr,male,32.0,0,0,4.2155,,S
89,0,3,Mr,male,32.1,0,2,17.6775,,Q
90,0,3,Mr,male,30.3,1,0,1.1318,,S
91,1,1,Miss,female,37.7,0,0,113.7169,F119,S
92,0,3,Mr,male,21.3,0,0,4.2774,,S
93,0,3,Mr,male,30.1,0,0,20.3174,B27,C
94,1,3,Miss,female,,0,0,25.9899,,S
95,0,3,Dr,male,28.5,1,0,17.5418,,S
96,1,3,Miss,female,,0,0,1.945,F35,C
97,0,3,Mr,male,15.8,1,0,8.3268,,Q
98,0,2,Mr,male,41.7,0,0,60.4539,,S
99,1,1,Miss,female,49.9,0,0,105.3139,,S
100,1,1,Miss,female,46.7,3,3,120.3863,,Q
101,1,1,Miss,female,33.1,0,0,29.2121,,C
102,0,3,Mr,male,12.3,1,0,5.5758,,S
103,0,2,Mr,male,29.6,0,0,15.0498,,C
104,0,3,Mr,male,52.4,1,0,22.343,G114,C
105,0,3,Mr,male,38.7,0,0,5.995,G51,Q
106,1,2,Mrs,female,26.7,0,2,57.2347,,C
107,0,2,Master,male,38.8,1,0,4.2887,,S
108,0,3,Miss,female,11.3,2,2,9.8818,,S
109,0,1,Mr,male,,1,0,174.1157,,S
110,0,1,Mr,male,14.0,1,0,29.0915,,S
111,0,2,Mr,male,36.5,1,2,11.8725,F104,C
112,1,1,Miss,female,40.1,0,0,80.0771,G32,Q
113,1,3,Miss,female,,0,2,4.8241,,S
114,0,3,Mrs,female,17.0,0,0,2.2756,,S
115,1,3,Miss,female,,0,2,6.2846,,S
116,1,3,Mrs,female,22.6,0,0,26.0066,,S
117,1,3,Miss,female,18.2,0,0,9.8559,,S
118,1,1,Mr,male,34.6,0,0,28.4597,,S
119,0,3,Mr,male,18.7,1,0,4.7697,,S
120,0,3,Mr,male,7.0,0,0,21.4963,,S
121,0,3,Mrs,female,,0,0,6.4549,B86,S
122,1,3,Miss,female,,0,0,15.6897,,C
123,0,2,Mr,male,33.3,1,0,13.4558,,S
124,1,1,Mrs,female,31.9,1,1,90.0397,A53,S
125,0,1,Mrs,female,31.2,0,0,132.4878,D85,S
126,0,2,Mr,male,,0,0,34.2863,,S
127,0,3,Mr,male,47.0,0,0,5.1659,,C
128,1,3,Miss,female,,0,0,10.0563,B117,S
129,0,1,Mr,male,,0,0,46.8597,,C
130,0,3,Miss,female,6.8,0,0,24.6683,,S
131,1,2,Mr,male,49.7,0,2,7.6895,,S
132,1,1,Miss,female,,0,1,94.7008,A77,S
133,1,1,Miss,female,19.4,3,0,91.2313,E64,S
134,1,2,Miss,female,,3,0,8.3578,E105,S
135,0,3,Dr,male,7.6,0,0,2.29,,C
136,1,2,Miss,female,30.2,0,0,10.1217,,S
137,1,3,Miss,female,,0,0,9.0063,,S
138,0,3,Mr,male,27.0,0,0,9.4396,B41,C
139,1,2,Mrs,female,7.4,3,0,13.206,,Q
140,0,3,Mr,male,58.5,0,0,18.0687,,S
141,0,3,Mr,male,37.7,1,0,20.0788,,S
142,0,2,Mr,male,,0,1,35.8342,,S
143,0,3,Mr,male,,4,0,6.1623,G78,S
144,0,2,Mr,male,43.6,0,1,15.7722,,Q
145,1,2,Miss,female,41.0,1,4,44.4908,F100,S
146,0,1,Mr,male,,0,0,61.9362,,S
147,0,3,Miss,female,50.2,0,0,7.3683,A104,Q
148,0,3,Dr,male,,0,0,16.8506,F114,C
149,0,1,Mr,male,24.5,0,2,114.4246,,S
150,0,2,Mr,male,0.4,2,3,15.2786,E64,C
151,1,3,Miss,female,,2,0,8.2202,,S
152,0,1,Mr,male,10.5,1,0,27.7328,C20,S
153,1,1,Mr,male,21.7,0,1,52.5502,B89,C
154,0,3,Miss,female,14.8,1,0,3.344,,S
155,0,3,Mr,male,24.4,0,1,24.0186,,S
156,1,1,Mr,male,36.1,0,2,16.6142,,S
157,0,3,Mr,male,29.9,0,0,6.6986,,S
158,1,3,Mrs,female,40.0,0,0,13.2271,,S
159,0,1,Mr,male,48.1,0,0,73.5615,D46,S
160,1,3,Mrs,female,24.4,0,0,5.6254,,S
161,0,2,Mr,male,22.8,0,0,21.6216,D87,S
162,0,3,Mrs,female,,1,1,3.5258,,S
163,0,3,Mrs,female,44.7,0,2,13.3377,C8,C
164,1,3,Miss,female,40.4,0,2,6.1325,B95,S
165,0,1,Master,male,15.9,0,0,19.753,D101,S
166,1,3,Mrs,female,35.8,0,1,9.0736,,S
167,0,2,Master,male,31.3,0,0,31.7843,,S
168,0,1,Mr,male,45.0,0,0,36.0527,,C
169,0,1,Mr,male,21.4,0,0,114.205,,S
170,1,3,Mrs,female,,1,0,10.9363,,S
171,1,3,Miss,female,39.7,0,2,4.7524,C105,S
172,1,1,Mrs,female,0.4,1,0,50.73,,S
173,1,3,Mr,male,19.1,0,0,9.9577,,S
174,1,1,Mr,male,,0,0,17.029,,C
175,0,3,Miss,female,14.8,1,0,8.0677,G52,S
176,0,1,Mr,male,18.8,0,0,20.2233,C15,S
177,0,3,Dr,male,,0,0,19.9386,C63,S
178,0,2,Mr,male,41.6,1,0,23.4238,,S
179,0,3,Mr,male,26.0,0,0,14.8787,,S
180,0,1,Mr,male,46.1,1,1,38.6472,E81,C
181,1,2,Mr,male,14.3,0,0,7.3703,,S
182,0,1,Mr,male,12.3,1,0,82.4772,,S
183,0,3,Mr,male,,0,0,19.5971,,S
184,1,3,Miss,female,38.1,0,0,39.7352,,S
185,0,2,Mr,male,23.0,0,0,37.3331,,S
186,0,3,Mr,male,13.2,0,0,27.7673,,S
187,1,3,Miss,female,,0,2,22.8128,,C
188,0,3,Mr,male,,0,0,10.0904,,C
189,1,3,Miss,female,21.0,0,1,5.3625,,S
190,1,1,Miss,female,33.0,0,6,8.1983,,S
191,0,1,Master,male,55.8,0,0,56.5086,,S
192,0,3,Mr,male,35.3,1,0,22.114,,S
193,1,3,Mrs,female,,0,0,6.9887,,C
194,0,3,Miss,female,,0,2,12.176,,S
195,0,2,Mr,male,37.9,0,2,10.5135,,C
196,0,2,Mr,male,31.2,0,0,23.3323,,S
197,0,3,Col,male,,2,1,9.0038,,S
